source_system,source_class_name,source_classid,insqlfileurl,datalake_table_name,target_system,target_class_name,target_classid
DELTA,BRZ_CURR_COMPASS_ICI.LU_ICI_LEGAL_CODES,1207,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.LU_ICI_LEGAL_CODES.sql,transient_talend_BRZ_CURR_COMPASS_ICI.LU_ICI_LEGAL_CODES,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_LEGAL_CODES,1208
DELTA,BRZ_CURR_COMPASS_ICI.LU_ICI_STYLECAT,1303,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.LU_ICI_STYLECAT.sql,transient_talend_BRZ_CURR_COMPASS_ICI.LU_ICI_STYLECAT,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_STYLECAT,1304
DELTA,BRZ_CURR_COMPASS_ICI.LU_SKD_DESIGN_TYPES,1291,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.LU_SKD_DESIGN_TYPES.sql,transient_talend_BRZ_CURR_COMPASS_ICI.LU_SKD_DESIGN_TYPES,snowflake,DB_STAGING.DW_RIPSAW.LU_SKD_DESIGN_TYPES,1292
DELTA,BRZ_CURR_COMPASS_ICI.LU_SKD_LOC_CAPACITY_D,1275,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.LU_SKD_LOC_CAPACITY_D.sql,transient_talend_BRZ_CURR_COMPASS_ICI.LU_SKD_LOC_CAPACITY_D,snowflake,DB_STAGING.DW_RIPSAW.LU_SKD_LOC_CAPACITY_D,1276
DELTA,BRZ_CURR_COMPASS_ICI.OPVDISCOUNTD,1178,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.OPVDISCOUNTD.sql,transient_talend_BRZ_CURR_COMPASS_ICI.OPVDISCOUNTD,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_OPVDISCOUNTD,1179
DELTA,BRZ_CURR_COMPASS_ICI.OPVDISCOUNTH,1173,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.OPVDISCOUNTH.sql,transient_talend_BRZ_CURR_COMPASS_ICI.OPVDISCOUNTH,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_OPVDISCOUNTH,1174
DELTA,BRZ_CURR_COMPASS_ICI.OPVORDPRICEXREF_T_LU_ICI_OPVORD_PRICE_XREF,1169,/data/talend/vars/INSQL/delta/compass/transient_talend.OPVORDPRICEXREF.sql,transient_talend.OPVORDPRICEXREF,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_OPVORD_PRICE_XREF,1170
DELTA,BRZ_CURR_COMPASS_ICI.PRICEEXCEPTIONCODES_1,1171,/data/talend/vars/INSQL/delta/compass/TRANSIENT_TALEND.PRICEEXCEPTIONCODES.sql,TRANSIENT_TALEND.PRICEEXCEPTIONCODES,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_PRICE_EXCEPTION,1172
DELTA,BRZ_CURR_COMPASS_ICI.QUARTERLYFORECAST_T_FT_ICI_QTR_FORECAST,1307,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.QUARTERLYFORECAST.sql,transient_talend_BRZ_CURR_COMPASS_ICI.QUARTERLYFORECAST,snowflake,DB_STAGING.DW_RIPSAW.FT_ICI_QTR_FORECAST,1308
DELTA,BRZ_CURR_COMPASS_ICI.REGIONS_VDX,1136,/data/talend/vars/INSQL/delta/transient_talend_regions_vdx.sql,transient_talend_regions_vdx,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_REGION,1137
DELTA,BRZ_CURR_COMPASS_ICI.RETAILCALENDAR,1165,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.RETAILCALENDAR.sql,transient_talend_BRZ_CURR_COMPASS_ICI.RETAILCALENDAR,snowflake,DB_STAGING.DW_RIPSAW.LU_SKD_CALENDAR,1166
DELTA,BRZ_CURR_COMPASS_ICI.RETAILLOCCAPACITYD,1197,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.RETAILLOCCAPACITYD.sql,transient_talend_BRZ_CURR_COMPASS_ICI.RETAILLOCCAPACITYD,snowflake,DB_STAGING.DW_RIPSAW.LU_SKD_LOC_PANEL_D,1198
DELTA,BRZ_CURR_COMPASS_ICI.RETAILLOCH,1320,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.RETAILLOCH.sql,transient_talend_BRZ_CURR_COMPASS_ICI.RETAILLOCH,snowflake,DB_STAGING.DW_RIPSAW.LU_SKD_LOC_H,1321
DELTA,BRZ_CURR_COMPASS_ICI.RETAILOWNERSHIPTYPES,1192,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.RETAILOWNERSHIPTYPES.sql,transient_talend_BRZ_CURR_COMPASS_ICI.RETAILOWNERSHIPTYPES,snowflake,DB_STAGING.DW_RIPSAW.LU_SKD_OWNERSHIP_TYPES,1193
DELTA,BRZ_CURR_COMPASS_ICI.RETAILPANELTYPES,1326,/data/talend/vars/INSQL/delta/compass/BRZ_CURR_COMPASS_ICI.RETAILPANELTYPES.sql,BRZ_CURR_COMPASS_ICI.RETAILPANELTYPES,snowflake,DB_STAGING.DW_RIPSAW.LU_SKD_PANEL_TYPES,1327
DELTA,BRZ_CURR_COMPASS_ICI.RETAILSTATUSTYPES_1,1132,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.RETAILSTATUSTYPES.sql,transient_talend_BRZ_CURR_COMPASS_ICI.RETAILSTATUSTYPES,snowflake,DB_STAGING.DW_RIPSAW.LU_SKD_STATUS_TYPES,1133
DELTA,BRZ_CURR_COMPASS_ICI.RETAILTERRITORIES,1126,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.RETAILTERRITORIES.sql,transient_talend_BRZ_CURR_COMPASS_ICI.RETAILTERRITORIES,snowflake,DB_STAGING.DW_RIPSAW.LU_SKD_TERRITORIES,1127
DELTA,BRZ_CURR_COMPASS_ICI.RETAILTRANTYPES,1205,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.RETAILTRANTYPES.sql,transient_talend_BRZ_CURR_COMPASS_ICI.RETAILTRANTYPES,snowflake,DB_STAGING.DW_RIPSAW.LU_SKD_TRAN_TYPES,1206
DELTA,BRZ_CURR_COMPASS_ICI.RETAILTYPES_1,1202,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.RETAILTYPES_1.sql,transient_talend_BRZ_CURR_COMPASS_ICI.RETAILTYPES_1,snowflake,DB_STAGING.DW_RIPSAW.LU_SKD_TYPES,1203
